Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Shares Outstanding,Market Cap,exchange_portion
2020-03-23 00:00:00-04:00,55.110042149416586,62.503793340605114,51.37208874499674,59.860408782958984,1384190000,0.0,0.0,14681140000,878819041799.8505,0.0942835501875195
2020-03-30 00:00:00-04:00,60.585283793127765,63.42438463270477,57.241178297732944,58.33091354370117,837010800,0.0,0.0,14681140000,856364308062.973,0.057012657055242305
2020-04-06 00:00:00-04:00,60.62393328247673,65.64975613224985,60.256664590581266,64.7533187866211,735437600,0.0,0.0,14681140000,950652538571.0144,0.0500940390187683
2020-04-13 00:00:00-04:00,64.83065263440255,69.6486742644972,64.23141767391984,68.3318099975586,829547200,0.0,0.0,14681140000,1003188869027.5574,0.05650427691582534
2020-04-20 00:00:00-04:00,67.15992719779295,68.3825537591584,64.13476596985463,68.37288665771484,678844800,0.0,0.0,14681140000,1003791921226.0436,0.046239243001565275
2020-04-27 00:00:00-04:00,68.09018415603609,72.24615310349837,67.22033670670332,69.84680938720703,790054000,0.0,0.0,14681140000,1025430787166.9006,0.05381421333765634
2020-05-04 00:00:00-04:00,69.87096336440166,74.98859805537779,69.18232808826566,74.93544006347656,672706400,0.205,0.0,14681140000,1100137686533.5083,0.04582112833199602
2020-05-11 00:00:00-04:00,74.64647181692466,77.45449621762505,72.73487900802405,74.5519790649414,834147600,0.0,0.0,14681140000,1094508041929.474,0.056817631328357335
2020-05-18 00:00:00-04:00,75.8748316133152,77.7452335278031,75.18433212763864,77.26067352294922,532904800,0.0,0.0,14681140000,1134274764484.7107,0.03629859806527286
2020-05-25 00:00:00-04:00,78.37756297645922,78.55684777150309,75.85542783700899,77.03048706054688,525560400,0.0,0.0,14681140000,1130895364804.0771,0.03579833718634929
2020-06-01 00:00:00-04:00,76.98446152400827,80.3763811505578,76.85362826814934,80.31581115722656,497736000,0.0,0.0,14681140000,1179127667812.8052,0.033903089269634375
2020-06-08 00:00:00-04:00,80.01296644696652,85.95366912139775,79.3030878530009,82.08445739746094,811826800,0.0,0.0,14681140000,1205093410876.1597,0.055297258932208264
2020-06-15 00:00:00-04:00,80.7398115994197,86.38735791979117,80.57748074293251,84.73016357421875,779940400,0.0,0.0,14681140000,1243935393656.006,0.05312532950438454
2020-06-22 00:00:00-04:00,85.1226517222072,90.22022483733647,85.07661793210424,85.67747497558594,883003200,0.0,0.0,14681140000,1257843004963.0735,0.0601454110511854
2020-06-29 00:00:00-04:00,85.58541072005093,89.75747265090347,85.10811882028341,88.21656799316406,495648000,0.0,0.0,14681140000,1295119785027.1606,0.033760865981797054
2020-07-06 00:00:00-04:00,89.64359643079227,93.34320922172265,89.61209884903855,92.9579849243164,564072000,0.0,0.0,14681140000,1364729190791.7786,0.038421539471730395
2020-07-13 00:00:00-04:00,94.26143985704306,96.8683745708359,90.97854938404284,93.35289001464844,718600800,0.0,0.0,14681140000,1370526847709.6558,0.048947207096996556
2020-07-20 00:00:00-04:00,93.44013494404648,96.18516421095138,86.39220292894763,89.75505065917969,665196000,0.0,0.0,14681140000,1317706464434.5093,0.045309560429230976
2020-07-27 00:00:00-04:00,90.8162323997502,103.12890351490226,90.36801293043192,102.97869110107422,847635600,0.0,0.0,14681140000,1511844581071.6248,0.05773636107277773
2020-08-03 00:00:00-04:00,104.85876788826234,110.87942661174851,104.56076825767674,107.68133544921876,1003474000,0.205,0.0,14681140000,1580884761116.9436,0.0683512315801089
2020-08-10 00:00:00-04:00,109.31965754076332,112.66187299343902,105.92890316690269,111.5599365234375,941551200,0.0,0.0,14681140000,1637827046491.6992,0.06413338473715256
